week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-001,STR-001,152,10,24,138,False
2024-01-08,BEV-001,STR-001,138,6,30,114,False
2024-01-15,BEV-001,STR-001,114,10,32,92,False
2024-01-22,BEV-001,STR-001,92,7,45,54,False
2024-01-29,BEV-001,STR-001,54,20,31,43,False
2024-02-05,BEV-001,STR-001,43,57,39,61,False
2024-02-12,BEV-001,STR-001,61,0,61,0,True
2024-02-19,BEV-001,STR-001,0,68,31,37,False
2024-02-26,BEV-001,STR-001,37,79,37,79,False
2024-03-04,BEV-001,STR-001,79,4,12,71,False
2024-03-11,BEV-001,STR-001,71,8,30,49,False
2024-03-18,BEV-001,STR-001,49,79,23,105,False
2024-03-25,BEV-001,STR-001,105,25,18,112,False
2024-04-01,BEV-001,STR-001,112,27,68,71,False
2024-04-08,BEV-001,STR-001,71,11,16,66,False
2024-04-15,BEV-001,STR-001,66,13,44,35,False
2024-04-22,BEV-001,STR-001,35,23,49,9,False
2024-04-29,BEV-001,STR-001,9,73,15,67,False
2024-05-06,BEV-001,STR-001,67,17,38,46,False
2024-05-13,BEV-001,STR-001,46,93,43,96,False
2024-05-20,BEV-001,STR-001,96,15,23,88,False
2024-05-27,BEV-001,STR-001,88,22,23,87,False
2024-06-03,BEV-001,STR-001,87,20,49,58,False
2024-06-10,BEV-001,STR-001,58,14,27,45,False
2024-01-01,BEV-002,STR-001,102,27,34,95,False
2024-01-08,BEV-002,STR-001,95,14,38,71,False
2024-01-15,BEV-002,STR-001,71,6,77,0,True
2024-01-22,BEV-002,STR-001,0,27,10,17,False
2024-01-29,BEV-002,STR-001,17,27,33,11,False
2024-02-05,BEV-002,STR-001,11,24,35,0,True
2024-02-12,BEV-002,STR-001,0,26,26,0,True
2024-02-19,BEV-002,STR-001,0,53,21,32,False
2024-02-26,BEV-002,STR-001,32,81,57,56,False
2024-03-04,BEV-002,STR-001,56,11,44,23,False
2024-03-11,BEV-002,STR-001,23,54,36,41,False
2024-03-18,BEV-002,STR-001,41,66,46,61,False
2024-03-25,BEV-002,STR-001,61,4,10,55,False
