week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2024-01-01,BEV-001,STR-001,North,24,60.0,False,,0.0
2024-01-08,BEV-001,STR-001,North,30,75.0,False,,0.0
2024-01-15,BEV-001,STR-001,North,32,80.0,False,,0.0
2024-01-22,BEV-001,STR-001,North,45,112.5,False,,0.0
2024-01-29,BEV-001,STR-001,North,31,77.5,False,,0.0
2024-02-05,BEV-001,STR-001,North,39,97.5,False,,0.0
2024-02-12,BEV-001,STR-001,North,61,117.42,True,BOGO,0.23
2024-02-19,BEV-001,STR-001,North,31,77.5,False,,0.0
2024-02-26,BEV-001,STR-001,North,37,92.5,False,,0.0
2024-03-04,BEV-001,STR-001,North,12,30.0,False,,0.0
2024-03-11,BEV-001,STR-001,North,30,75.0,False,,0.0
2024-03-18,BEV-001,STR-001,North,23,50.02,True,Bundle,0.13
2024-03-25,BEV-001,STR-001,North,18,45.0,False,,0.0
2024-04-01,BEV-001,STR-001,North,68,127.5,True,Display Feature,0.25
2024-04-08,BEV-001,STR-001,North,16,40.0,False,,0.0
2024-04-15,BEV-001,STR-001,North,44,110.0,False,,0.0
2024-04-22,BEV-001,STR-001,North,49,122.5,False,,0.0
2024-04-29,BEV-001,STR-001,North,15,37.5,False,,0.0
2024-05-06,BEV-001,STR-001,North,38,95.0,False,,0.0
2024-05-13,BEV-001,STR-001,North,43,107.5,False,,0.0
2024-05-20,BEV-001,STR-001,North,23,57.5,False,,0.0
2024-05-27,BEV-001,STR-001,North,23,57.5,False,,0.0
2024-06-03,BEV-001,STR-001,North,49,122.5,False,,0.0
2024-06-10,BEV-001,STR-001,North,27,67.5,False,,0.0
2024-01-01,BEV-002,STR-001,North,34,85.0,False,,0.0
2024-01-08,BEV-002,STR-001,North,38,95.0,False,,0.0
2024-01-15,BEV-002,STR-001,North,77,159.78,True,Bundle,0.17
2024-01-22,BEV-002,STR-001,North,10,25.0,False,,0.0
2024-01-29,BEV-002,STR-001,North,33,66.0,True,BOGO,0.2
2024-02-05,BEV-002,STR-001,North,35,87.5,False,,0.0
2024-02-12,BEV-002,STR-001,North,26,65.0,False,,0.0
2024-02-19,BEV-002,STR-001,North,21,52.5,False,,0.0
2024-02-26,BEV-002,STR-001,North,57,104.02,True,Price Cut,0.27
